Date,Time,Sample ID,Sample,Arm,Tank,Beaker,TP,Target,Beaker conditions,Observed concentration (uM),Pump,Notes,
2023-04-18,3:45 PM,37,29_T1,Armand,2,29,T1,0,Empty,0.61,1,After dosing,
2023-04-18,3:45 PM,38,30_T1,Armand,2,30,T1,0,Empty,0.49,2,After dosing,
2023-04-18,3:45 PM,39,31_T1,Armand,2,31,T1,5,Coral,1.31,1,After dosing,
2023-04-18,3:45 PM,40,32_T1,Armand,2,32,T1,5,Coral,1.36,2,After dosing,
2023-04-18,1:30 PM,41,33_T1,Armand,5,33,T1,0,Empty,0.5,1,After dosing,
2023-04-18,1:30 PM,42,34_T1,Armand,5,34,T1,0,Empty,0.41,2,After dosing,
2023-04-18,1:30 PM,43,35_T1,Armand,5,35,T1,5,Skeleton,6.3,1,After dosing,
2023-04-18,1:30 PM,44,36_T1,Armand,5,36,T1,5,Skeleton,5.07,2,After dosing,
2023-04-18,1:30 PM,45,37_T1,Armand,5,37,T1,0,Skeleton,0.62,1,After dosing,
2023-04-18,1:30 PM,46,38_T1,Armand,5,38,T1,0,Skeleton,1.21,2,After dosing,
2023-04-18,1:30 PM,47,39_T1,Armand,5,39,T1,5,Empty,4.2,1,After dosing,
2023-04-18,1:30 PM,48,40_T1,Armand,5,40,T1,5,Empty,4.28,2,After dosing,
2023-04-18,3:30 PM,49,41_T1,Armand,5,41,T1,0,Empty,0.26,1,Right before dosing,
2023-04-18,3:30 PM,50,42_T1,Armand,5,42,T1,0,Empty,0.38,2,Right before dosing,
2023-04-18,3:30 PM,51,43_T1,Armand,5,43,T1,5,Skeleton,2.5,1,Right before dosing,
2023-04-18,3:30 PM,52,44_T1,Armand,5,44,T1,5,Skeleton,2.27,2,Right before dosing,
2023-04-18,3:30 PM,53,45_T1,Armand,5,45,T1,0,Skeleton,1.25,1,Right before dosing,
2023-04-18,3:30 PM,54,46_T1,Armand,5,46,T1,0,Skeleton,0.71,2,Right before dosing,
2023-04-18,3:30 PM,55,47_T1,Armand,5,47,T1,5,Empty,3.74,1,Right before dosing,
2023-04-18,3:30 PM,56,48_T1,Armand,5,48,T1,5,Empty,3.65,2,Right before dosing,
2023-04-18,1:30 PM,57,49_T1,Armanda,3,49,T1,0,Skeleton,0.36,2,After dosing,
2023-04-18,1:30 PM,58,50_T1,Armanda,3,50,T1,0,Skeleton,0.24,1,After dosing,
2023-04-18,1:30 PM,59,51_T1,Armanda,3,51,T1,5,Coral,4.06,2,After dosing,
2023-04-18,1:30 PM,60,52_T1,Armanda,3,52,T1,5,Coral,3.75,1,After dosing,
2023-04-18,1:30 PM,61,53_T1,Armanda,3,53,T1,0,Coral,0,2,After dosing,
2023-04-18,1:30 PM,62,54_T1,Armanda,3,54,T1,0,Coral,0.27,1,After dosing,
2023-04-18,1:30 PM,63,55_T1,Armanda,3,55,T1,5,Skeleton,4.5,2,After dosing,
2023-04-18,1:30 PM,64,56_T1,Armanda,3,56,T1,5,Skeleton,4.36,1,Had water intrussion,
2023-04-18,3:40 PM,65,57_T1,Armanda,3,57,T1,0,Skeleton,1.11,2,After dosing,
2023-04-18,3:40 PM,66,58_T1,Armanda,3,58,T1,0,Skeleton,0.64,1,After dosing,
2023-04-18,3:40 PM,67,59_T1,Armanda,3,59,T1,5,Coral,1.94,2,After dosing,
2023-04-18,3:40 PM,68,60_T1,Armanda,3,60,T1,5,Coral,1.26,1,After dosing,
2023-04-18,3:40 PM,69,61_T1,Armanda,3,61,T1,0,Coral,0.41,2,After dosing,
2023-04-18,3:40 PM,70,62_T1,Armanda,3,62,T1,0,Coral,0.38,1,After dosing,
2023-04-18,3:40 PM,71,63_T1,Armanda,3,63,T1,5,Skeleton,3.08,2,After dosing,
2023-04-18,3:40 PM,72,64_T1,Armanda,3,64,T1,5,Skeleton,1.83,1,After dosing,
2023-04-18,1:30 PM,73,65_T1,Armanda,4,65,T1,0,Coral,0.43,2,After dosing,
2023-04-18,1:30 PM,74,66_T1,Armanda,4,66,T1,0,Coral,0.38,1,After dosing,
2023-04-18,1:30 PM,75,67_T1,Armanda,4,67,T1,5,Skeleton,4.39,2,After dosing,
2023-04-18,1:30 PM,76,68_T1,Armanda,4,68,T1,5,Skeleton,4.17,1,After dosing,
2023-04-18,1:30 PM,77,69_T1,Armanda,4,69,T1,0,Empty,0.33,2,After dosing,
2023-04-18,1:30 PM,78,70_T1,Armanda,4,70,T1,0,Empty,0.37,1,After dosing,
2023-04-18,1:30 PM,79,71_T1,Armanda,4,71,T1,5,Coral,4.03,2,After dosing,
2023-04-18,1:30 PM,80,72_T1,Armanda,4,72,T1,5,Coral,3.82,1,After dosing,
2023-04-18,3:50 PM,81,73_T1,Armanda,4,73,T1,0,Coral,0.44,2,After dosing,
2023-04-18,3:50 PM,82,74_T1,Armanda,4,74,T1,0,Coral,0.42,1,After dosing,
2023-04-18,3:50 PM,83,75_T1,Armanda,4,75,T1,5,Empty,3.42,2,After dosing,
2023-04-18,3:50 PM,84,76_T1,Armanda,4,76,T1,5,Empty,3.59,1,After dosing,
2023-04-18,3:50 PM,85,77_T1,Armanda,4,77,T1,0,Empty,0.62,2,After dosing,
2023-04-18,3:50 PM,86,78_T1,Armanda,4,78,T1,0,Empty,0.29,1,After dosing,
2023-04-18,3:50 PM,87,79_T1,Armanda,4,79,T1,5,Coral,2.36,2,After dosing,
2023-04-18,3:50 PM,88,80_T1,Armanda,4,80,T1,5,Coral,1.4,1,After dosing,
2023-04-18,1:30 PM,89,81_T1,Armanda,8,81,T1,0,Empty,0,2,After dosing,
2023-04-18,1:30 PM,90,82_T1,Armanda,8,82,T1,0,Empty,0.26,1,After dosing,
2023-04-18,1:30 PM,91,83_T1,Armanda,8,83,T1,5,Empty,3.28,2,After dosing,
2023-04-18,1:30 PM,92,84_T1,Armanda,8,84,T1,5,Empty,4.05,1,After dosing,
2023-04-18,1:30 PM,93,85_T1,Armanda,8,85,T1,0,Empty,0.62,2,After dosing,
2023-04-18,1:30 PM,94,86_T1,Armanda,8,86,T1,0,Empty,0.35,1,After dosing,
2023-04-18,1:30 PM,95,87_T1,Armanda,8,87,T1,5,Empty,3.37,2,After dosing,
2023-04-18,1:30 PM,96,88_T1,Armanda,8,88,T1,5,Empty,4.02,1,After dosing,
2023-04-18,3:45 PM,97,89_T1,Armanda,8,89,T1,0,Empty,0.22,2,After dosing,
2023-04-18,3:45 PM,98,90_T1,Armanda,8,90,T1,0,Empty,0.2,1,Right after dosing,
2023-04-18,3:45 PM,99,91_T1,Armanda,8,91,T1,5,Empty,2.95,2,Right after dosing,
2023-04-18,3:45 PM,100,92_T1,Armanda,8,92,T1,5,Empty,4.59,1,Right after dosing,
2023-04-18,3:45 PM,101,93_T1,Armanda,8,93,T1,0,Empty,0.5,2,Right after dosing,
2023-04-18,3:45 PM,102,94_T1,Armanda,8,94,T1,0,Empty,0.37,1,Right after dosing,
2023-04-18,3:45 PM,103,95_T1,Armanda,8,95,T1,5,Empty,2.74,2,Right after dosing,1.945333333
2023-04-18,3:45 PM,104,96_T1,Armanda,8,96,T1,5,Empty,2.25,1,Right after dosing,
2023-04-19,,105,1_T1,Armand,1,1,T2,0,Skeleton,0.31,1,,
2023-04-19,,106,2_T1,Armand,1,2,T2,0,Skeleton,0.53,2,,
2023-04-19,,107,3_T1,Armand,1,3,T2,5,Coral,0.4,1,,
2023-04-19,,108,4_T1,Armand,1,4,T2,5,Coral,0.95,2,,
2023-04-19,,109,5_T1,Armand,1,5,T2,0,Coral,0.67,1,,
2023-04-19,,110,6_T1,Armand,1,6,T2,0,Coral,0.48,2,,
2023-04-19,,111,7_T1,Armand,1,7,T2,5,Empty,3.71,1,,
2023-04-19,,112,8_T1,Armand,1,8,T2,5,Empty,3.63,2,,
2023-04-19,,113,9_T1,Armand,1,9,T2,0,Skeleton,0.67,1,,
2023-04-19,,114,10_T1,Armand,1,10,T2,0,Skeleton,0.53,2,,
2023-04-19,,115,11_T1,Armand,1,11,T2,5,Coral,0.67,1,,
2023-04-19,,116,12_T1,Armand,1,12,T2,5,Coral,0.29,2,,
2023-04-19,,117,13_T1,Armand,1,13,T2,0,Coral,0.59,1,,
2023-04-19,,118,14_T1,Armand,1,14,T2,0,Coral,0.5,2,,
2023-04-19,,119,15_T1,Armand,1,15,T2,5,Skeleton,3.05,1,,
2023-04-19,,120,16_T1,Armand,1,16,T2,5,Skeleton,4.64,2,,
2023-04-19,,121,17_T1,Armand,2,17,T2,0,Coral,0.59,1,,
2023-04-19,,122,18_T1,Armand,2,18,T2,0,Coral,0.26,2,,
2023-04-19,,123,19_T1,Armand,2,19,T2,5,Skeleton,5.58,1,,
2023-04-19,,124,20_T1,Armand,2,20,T2,5,Skeleton,6.25,2,,
2023-04-19,,125,21_T1,Armand,2,21,T2,0,Skeleton,0.43,1,,
2023-04-19,,126,22_T1,Armand,2,22,T2,0,Skeleton,1.26,2,,
2023-04-19,,127,23_T1,Armand,2,23,T2,5,Coral,0.55,1,,
2023-04-19,,128,24_T1,Armand,2,24,T2,5,Coral,1.53,2,,
2023-04-19,,129,25_T1,Armand,2,25,T2,0,Coral,0,1,,
2023-04-19,,130,26_T1,Armand,2,26,T2,0,Coral,0.28,2,,
2023-04-19,,131,27_T1,Armand,2,27,T2,5,Empty,3.04,1,,
2023-04-19,,132,28_T1,Armand,2,28,T2,5,Skeleton,4.04,2,,
2023-04-19,,133,29_T1,Armand,2,29,T2,0,Empty,0.23,1,,
2023-04-19,,134,30_T1,Armand,2,30,T2,0,Empty,0.14,2,,
2023-04-19,,135,31_T1,Armand,2,31,T2,5,Coral,1.25,1,,
2023-04-19,,136,32_T1,Armand,2,32,T2,5,Coral,1.1,2,,
2023-04-19,,137,33_T1,Armand,5,33,T2,0,Empty,0.33,1,,
2023-04-19,,138,34_T1,Armand,5,34,T2,0,Empty,0.13,2,,
2023-04-19,,139,35_T1,Armand,5,35,T2,5,Skeleton,2.67,1,,
2023-04-19,,140,36_T1,Armand,5,36,T2,5,Skeleton,5.34,2,,
2023-04-19,,141,37_T1,Armand,5,37,T2,0,Skeleton,0.41,1,,
2023-04-19,,142,38_T1,Armand,5,38,T2,0,Skeleton,0.28,2,,
2023-04-19,,143,39_T1,Armand,5,39,T2,5,Empty,3.15,1,,
2023-04-19,,144,40_T1,Armand,5,40,T2,5,Empty,3.57,2,,
2023-04-19,,145,41_T1,Armand,5,41,T2,0,Empty,0.4,1,,
2023-04-19,,146,42_T1,Armand,5,42,T2,0,Empty,0.49,2,,
2023-04-19,,147,43_T1,Armand,5,43,T2,5,Skeleton,1.93,1,,
2023-04-19,,148,44_T1,Armand,5,44,T2,5,Skeleton,3.87,2,,
2023-04-19,,149,45_T1,Armand,5,45,T2,0,Skeleton,1.36,1,,
2023-04-19,,150,46_T1,Armand,5,46,T2,0,Skeleton,0.35,2,,
2023-04-19,,151,47_T1,Armand,5,47,T2,5,Empty,3.54,1,,
2023-04-19,,152,48_T1,Armand,5,48,T2,5,Empty,4.03,2,,
2023-04-19,,153,49_T2,Armanda,3,49,T2,0,Skeleton,0.53,2,,
2023-04-19,,154,50_T2,Armanda,3,50,T2,0,Skeleton,0.42,1,,
2023-04-19,,155,51_T2,Armanda,3,51,T2,5,Coral,0.7,2,,
2023-04-19,,156,52_T2,Armanda,3,52,T2,5,Coral,0.77,1,,
2023-04-19,,157,53_T2,Armanda,3,53,T2,0,Coral,0.55,2,,
2023-04-19,,158,54_T2,Armanda,3,54,T2,0,Coral,0.86,1,,
2023-04-19,,159,55_T2,Armanda,3,55,T2,5,Skeleton,7.78,2,,
2023-04-19,,160,56_T2,Armanda,3,56,T2,5,Skeleton,3.77,1,,
2023-04-19,,161,57_T2,Armanda,3,57,T2,0,Skeleton,1.15,2,,
2023-04-19,,162,58_T2,Armanda,3,58,T2,0,Skeleton,0.43,1,,
2023-04-19,,163,59_T2,Armanda,3,59,T2,5,Coral,2.62,2,,
2023-04-19,,164,60_T2,Armanda,3,60,T2,5,Coral,1.62,1,,
2023-04-19,,165,61_T2,Armanda,3,61,T2,0,Coral,0.9,2,,
2023-04-19,,166,62_T2,Armanda,3,62,T2,0,Coral,2.72,1,,
2023-04-19,,167,63_T2,Armanda,3,63,T2,5,Skeleton,5.22,2,,
2023-04-19,,168,64_T2,Armanda,3,64,T2,5,Skeleton,3.57,1,,
2023-04-19,,169,65_T2,Armanda,4,65,T2,0,Coral,1.45,2,,
2023-04-19,,170,66_T2,Armanda,4,66,T2,0,Coral,1.17,1,,
2023-04-19,,171,67_T2,Armanda,4,67,T2,5,Skeleton,4.47,2,,
2023-04-19,,172,68_T2,Armanda,4,68,T2,5,Skeleton,3.94,1,,
2023-04-19,,173,69_T2,Armanda,4,69,T2,0,Empty,0.69,2,,
2023-04-19,,174,70_T2,Armanda,4,70,T2,0,Empty,1,1,,
2023-04-19,,175,71_T2,Armanda,4,71,T2,5,Coral,0.98,2,,
2023-04-19,,176,72_T2,Armanda,4,72,T2,5,Coral,1.51,1,,
2023-04-19,,177,73_T2,Armanda,4,73,T2,0,Coral,0.6,2,,
2023-04-19,,178,74_T2,Armanda,4,74,T2,0,Coral,0.61,1,,
2023-04-19,,179,75_T2,Armanda,4,75,T2,5,Empty,4.72,2,,
2023-04-19,,180,76_T2,Armanda,4,76,T2,5,Empty,4.02,1,,
2023-04-19,,181,77_T2,Armanda,4,77,T2,0,Empty,0.57,2,,
2023-04-19,,182,78_T2,Armanda,4,78,T2,0,Empty,0.65,1,,
2023-04-19,,183,79_T2,Armanda,4,79,T2,5,Coral,1.18,2,,
2023-04-19,,184,80_T2,Armanda,4,80,T2,5,Coral,0.9,1,,
2023-04-19,,185,81_T2,Armanda,8,81,T2,0,Empty,0.36,2,,
2023-04-19,,186,82_T2,Armanda,8,82,T2,0,Empty,0.54,1,,
2023-04-19,,187,83_T2,Armanda,8,83,T2,5,Empty,4.41,2,,
2023-04-19,,188,84_T2,Armanda,8,84,T2,5,Empty,4.27,1,,
2023-04-19,,189,85_T2,Armanda,8,85,T2,0,Empty,0.49,2,,
2023-04-19,,190,86_T2,Armanda,8,86,T2,0,Empty,0.55,1,,
2023-04-19,,191,87_T2,Armanda,8,87,T2,5,Empty,4.71,2,,
2023-04-19,,192,88_T2,Armanda,8,88,T2,5,Empty,4.4,1,,
2023-04-19,,193,89_T2,Armanda,8,89,T2,0,Empty,0.62,2,,
2023-04-19,,194,90_T2,Armanda,8,90,T2,0,Empty,0.56,1,,
2023-04-19,,195,91_T2,Armanda,8,91,T2,5,Empty,4.59,2,,
2023-04-19,,196,92_T2,Armanda,8,92,T2,5,Empty,4.1,1,,
2023-04-19,,197,93_T2,Armanda,8,93,T2,0,Empty,0.54,2,,
2023-04-19,,198,94_T2,Armanda,8,94,T2,0,Empty,0.48,1,,
2023-04-19,,199,95_T2,Armanda,8,95,T2,5,Empty,4.31,2,,
2023-04-19,,200,96_T2,Armanda,8,96,T2,5,Empty,4.04,1,,
2023-04-19,,201,Source_T2,Source,VAT-left,Source,T2,0,Source,0,Source,,
